city,date,year,month,day,dow,all,tmean,rh,pm10
London,06feb2002,2002,2,6,3,148,7.25,64.050003,32.799999
London,07feb2002,2002,2,7,4,144,6.3000002,79.324997,44.400002
London,08feb2002,2002,2,8,5,169,9.4875002,89.775002,52.099998
London,09feb2002,2002,2,9,6,171,10.1375,62.375,37.599998
London,10feb2002,2002,2,10,0,155,9.1000004,68.75,39.599998
London,11feb2002,2002,2,11,1,146,11.03125,86.5,36.200001
London,12feb2002,2002,2,12,2,141,11.5,69.599998,56.400002
London,13feb2002,2002,2,13,3,150,7.8249998,78.525002,33.099998
London,14feb2002,2002,2,14,4,177,5.4562502,59.075001,23.299999
London,15feb2002,2002,2,15,5,177,3.5625,72.400002,29.200001
London,16feb2002,2002,2,16,6,166,5.1125002,70.625,23.5
London,17feb2002,2002,2,17,0,154,3.70625,79.025002,44.099998
London,18feb2002,2002,2,18,1,186,5.6500001,66.25,33.200001
London,19feb2002,2002,2,19,2,171,8.3374996,68.224998,41.200001
London,20feb2002,2002,2,20,3,151,8.1499996,59.274998,20.1
London,21feb2002,2002,2,21,4,169,5.1999998,65.900002,55
London,22feb2002,2002,2,22,5,185,9.1312504,67.75,35.700001
London,23feb2002,2002,2,23,6,154,5.5562501,74.550003,25.799999
London,24feb2002,2002,2,24,0,161,5.7562499,84.175003,37
London,25feb2002,2002,2,25,1,163,9.2062502,88.724998,47.099998
London,26feb2002,2002,2,26,2,183,9.5437498,68.574997,35.200001
London,27feb2002,2002,2,27,3,153,5.9312501,66.300003,36.599998
London,28feb2002,2002,2,28,4,155,6.9937501,62.075001,49.5
London,01mar2002,2002,3,1,5,152,3.60625,80.650002,33.599998
London,02mar2002,2002,3,2,6,165,3.8499999,69.400002,24.200001
London,03mar2002,2002,3,3,0,162,6.5875001,77.824997,27.200001
London,04mar2002,2002,3,4,1,186,6.9375,68.224998,36.099998
London,05mar2002,2002,3,5,2,195,7.9312501,68.900002,45.700001
London,06mar2002,2002,3,6,3,184,8.5874996,75.150002,55.700001
London,07mar2002,2002,3,7,4,169,11.7,54.025002,40.400002
London,08mar2002,2002,3,8,5,138,9.4875002,69.875,54
London,09mar2002,2002,3,9,6,150,7.3187499,52.824997,33
London,10mar2002,2002,3,10,0,141,6.6750002,70.074997,36.900002
London,11mar2002,2002,3,11,1,185,9.9437504,81.775002,48.599998
London,12mar2002,2002,3,12,2,179,8.8625002,82.349998,44.900002
London,13mar2002,2002,3,13,3,157,6.2374997,76.099998,22.5
London,14mar2002,2002,3,14,4,163,5.1687498,73.150002,33.599998
London,15mar2002,2002,3,15,5,182,6.5625,93.775002,48.5
London,16mar2002,2002,3,16,6,177,10.475,74.75,38.099998
London,17mar2002,2002,3,17,0,206,11.19375,79.399994,30.700001
London,18mar2002,2002,3,18,1,164,9.4125004,83.775002,34.099998
London,19mar2002,2002,3,19,2,156,9.4187498,72.525002,50.099998
London,20mar2002,2002,3,20,3,180,11.35625,85.724998,48.599998
London,21mar2002,2002,3,21,4,168,12.825,69.449997,45.200001
London,22mar2002,2002,3,22,5,135,11.8625,72.800003,41.799999
London,23mar2002,2002,3,23,6,166,9.4624996,60.575001,29.5
London,24mar2002,2002,3,24,0,151,8.03125,54.474998,38.5
London,25mar2002,2002,3,25,1,165,8.9499998,60.474998,56
London,26mar2002,2002,3,26,2,158,9.0500002,61.650002,23.6
London,27mar2002,2002,3,27,3,165,6.78125,61.899998,44.799999
London,28mar2002,2002,3,28,4,161,7.4749999,50.275002,59.099998
London,29mar2002,2002,3,29,5,170,9.2437496,49.400002,57.5
London,30mar2002,2002,3,30,6,161,10.1625,49.700001,67.800003
London,31mar2002,2002,3,31,0,132,9.8937502,81.25,44.599998
London,01apr2002,2002,4,1,1,151,12.013797,64.849998,47.599998
London,02apr2002,2002,4,2,2,167,12.7,57.900002,59.299999
London,03apr2002,2002,4,3,3,161,15.60625,40.75,64.699997
London,04apr2002,2002,4,4,4,177,12.831249,57,68.800003
London,05apr2002,2002,4,5,5,154,11.01875,61.450001,69.099998
London,06apr2002,2002,4,6,6,160,8.9187498,41.100964,47.299999
London,07apr2002,2002,4,7,0,135,8.0062504,56.5,24.299999
London,08apr2002,2002,4,8,1,180,9.1937504,56.575001,34.599998
London,09apr2002,2002,4,9,2,171,6.5,69.974998,26.6
London,10apr2002,2002,4,10,3,158,8.5625,45.424999,49.900002
London,11apr2002,2002,4,11,4,162,8.0812502,48.775002,53.5
London,12apr2002,2002,4,12,5,143,7.6812501,49.400002,42.799999
London,13apr2002,2002,4,13,6,127,7.1812501,57.400002,17.9
London,14apr2002,2002,4,14,0,147,6.875,55.299999,26.9
London,15apr2002,2002,4,15,1,153,8.6812496,69.625,32.799999
London,16apr2002,2002,4,16,2,146,9.0500002,45.599998,55.599998
London,17apr2002,2002,4,17,3,150,9.5187502,53.75,53.099998
London,18apr2002,2002,4,18,4,134,9.125,60.699997,44.099998
London,19apr2002,2002,4,19,5,150,9.59375,63.625,37.299999
London,20apr2002,2002,4,20,6,152,10.3,52.599998,49.799999
London,21apr2002,2002,4,21,0,178,12.89375,49.824997,42.099998
London,22apr2002,2002,4,22,1,147,14.34375,56.950001,48.400002
London,23apr2002,2002,4,23,2,174,15.29375,60.525002,46.599998
London,24apr2002,2002,4,24,3,151,15.73125,68.050003,45.299999
London,25apr2002,2002,4,25,4,143,13.162499,54.5,33
London,26apr2002,2002,4,26,5,153,11.3625,85.375,35.400002
London,27apr2002,2002,4,27,6,161,9.7124996,49.450001,35.200001
London,28apr2002,2002,4,28,0,140,11.15625,67.875,29.6
London,29apr2002,2002,4,29,1,151,10.00625,56.049999,44.799999
London,30apr2002,2002,4,30,2,145,9.8625002,88.574997,40.700001
London,01may2002,2002,5,1,3,127,10.775785,51.450001,47.400002
London,02may2002,2002,5,2,4,154,10.1875,55.700001,28.299999
London,03may2002,2002,5,3,5,161,10.48125,57.275002,24.799999
London,04may2002,2002,5,4,6,139,9.1000004,58.650002,16.700001
London,05may2002,2002,5,5,0,143,7.6312499,54.474998,17.6
London,06may2002,2002,5,6,1,157,10.7375,75.474998,24.299999
London,07may2002,2002,5,7,2,147,12.6375,76.224998,33.5
London,08may2002,2002,5,8,3,147,11.35625,75.349998,24.9
London,09may2002,2002,5,9,4,142,10.45625,81.925003,34.900002
London,10may2002,2002,5,10,5,151,13.1,77.050003,65.400002
London,11may2002,2002,5,11,6,155,13.7625,66.924995,36.299999
London,12may2002,2002,5,12,0,133,12.95625,72,37.099998
London,13may2002,2002,5,13,1,136,12.2125,88.224998,43.799999
London,14may2002,2002,5,14,2,160,13.23125,58.525002,52.799999
London,15may2002,2002,5,15,3,165,14.725,61.075001,56.799999
London,16may2002,2002,5,16,4,149,16.6625,51.224998,57.099998
London,17may2002,2002,5,17,5,139,18.49375,55.349998,66.599998
London,18may2002,2002,5,18,6,152,15.081249,73.125,48.400002
London,19may2002,2002,5,19,0,124,15.0375,60.174999,42
London,20may2002,2002,5,20,1,160,15.643749,64,47.599998
London,21may2002,2002,5,21,2,154,15.36875,66.849998,47.200001
London,22may2002,2002,5,22,3,142,15.1375,61.600002,48.711536
London,23may2002,2002,5,23,4,149,14.5,56.849998,59.200001
London,24may2002,2002,5,24,5,155,13.90625,75.425003,56.799999
London,25may2002,2002,5,25,6,146,12.775,50.924999,43.099998
London,26may2002,2002,5,26,0,138,11.025,76.574997,34.799999
London,27may2002,2002,5,27,1,155,11.60625,63.025002,52.599998
London,28may2002,2002,5,28,2,172,12.3,77.349998,56.299999
London,29may2002,2002,5,29,3,147,13,53.875,51.799999
London,30may2002,2002,5,30,4,133,13.14375,61.724998,60.900002
London,31may2002,2002,5,31,5,161,14.05723,54.049999,53.900002
London,01jun2002,2002,6,1,6,143,15.7375,43.950001,46.799999
London,02jun2002,2002,6,2,0,148,18.25625,43.224998,42
London,03jun2002,2002,6,3,1,144,16.018749,68.599998,41.200001
London,04jun2002,2002,6,4,2,155,12.725,64.925003,31.1
London,05jun2002,2002,6,5,3,157,12.35,89.775002,22.4
London,06jun2002,2002,6,6,4,171,14.71875,88.150002,38.599998
London,07jun2002,2002,6,7,5,145,14.41875,90.025002,46.5
London,08jun2002,2002,6,8,6,133,13.875,75.525002,40.299999
London,09jun2002,2002,6,9,0,121,13.43125,80.5,39.400002
London,10jun2002,2002,6,10,1,162,12.9875,69.349998,52.299999
London,11jun2002,2002,6,11,2,148,13.375,55.099998,50.400002
London,12jun2002,2002,6,12,3,155,14.3125,68.650002,36.099998
London,13jun2002,2002,6,13,4,131,15.18125,69.625,45.799999
London,14jun2002,2002,6,14,5,150,17.93125,75.525002,55.400002
London,15jun2002,2002,6,15,6,162,17.043751,61.875,45.900002
London,16jun2002,2002,6,16,0,168,17.825001,84.099998,39.200001
London,17jun2002,2002,6,17,1,164,20.700001,60.775002,66.199997
London,18jun2002,2002,6,18,2,156,18.762501,63.049999,46.599998
London,19jun2002,2002,6,19,3,148,16.15,47.224998,42.400002
London,20jun2002,2002,6,20,4,135,17.643749,57.099998,55.700001
London,21jun2002,2002,6,21,5,128,16.674999,56.674999,51.099998
London,22jun2002,2002,6,22,6,136,15.96875,61,42.400002
London,23jun2002,2002,6,23,0,148,15.5875,52.200001,26.799999
London,24jun2002,2002,6,24,1,150,15.375,47.650002,33.200001
London,25jun2002,2002,6,25,2,141,15.19375,56.049999,40.700001
London,26jun2002,2002,6,26,3,150,16.924999,50,49.400002
London,27jun2002,2002,6,27,4,144,14.86875,49.375,24.6
London,28jun2002,2002,6,28,5,133,13.4375,48.424999,28.200001
London,29jun2002,2002,6,29,6,148,13.837501,48.200001,38
London,30jun2002,2002,6,30,0,159,15.1,63.299999,34.700001
London,01jul2002,2002,7,1,1,148,14.4875,72.775002,44.5
London,02jul2002,2002,7,2,2,162,13.88125,62.199997,49.5
London,03jul2002,2002,7,3,3,149,14.16875,76.375,44.700001
London,04jul2002,2002,7,4,4,133,14.56875,52.625,50.099998
London,05jul2002,2002,7,5,5,167,15.537499,86.775002,52.599998
London,06jul2002,2002,7,6,6,140,16.2875,70.099998,39.799999
London,07jul2002,2002,7,7,0,140,16.40625,84.150002,41.299999
London,08jul2002,2002,7,8,1,159,16.59375,88.150002,43.700001
London,09jul2002,2002,7,9,2,140,17.38125,79.349998,51.900002
London,10jul2002,2002,7,10,3,118,14.44375,67.5,51.700001
London,11jul2002,2002,7,11,4,139,14.96875,59.875,54.599998
London,12jul2002,2002,7,12,5,157,13.75,70.224998,52.900002
London,13jul2002,2002,7,13,6,140,16.19375,48.599998,27.5
London,14jul2002,2002,7,14,0,163,17.762501,42.724998,30.799999
London,15jul2002,2002,7,15,1,155,18.862499,47.224998,42
London,16jul2002,2002,7,16,2,142,20.081249,58.025002,38.400002
London,17jul2002,2002,7,17,3,136,17.21875,59.924999,28.6
London,18jul2002,2002,7,18,4,148,18.4125,57.200001,36.799999
London,19jul2002,2002,7,19,5,156,18.375,49.424999,44.900002
London,20jul2002,2002,7,20,6,135,18.275,56.5,32.099998
London,21jul2002,2002,7,21,0,136,14.9125,64.199997,20.9
London,22jul2002,2002,7,22,1,161,15.78125,56.700001,44
London,23jul2002,2002,7,23,2,139,17.225,78.924995,49.799999
London,24jul2002,2002,7,24,3,136,17.168751,63.099998,23.799999
London,25jul2002,2002,7,25,4,169,16.9375,68.300003,50.299999
London,26jul2002,2002,7,26,5,148,21.475,62.550003,62.599998
London,27jul2002,2002,7,27,6,149,19.99375,68.300003,55.099998
London,28jul2002,2002,7,28,0,166,22.94375,56.349998,39.900002
London,29jul2002,2002,7,29,1,172,24.53125,58.525002,68.5
London,30jul2002,2002,7,30,2,199,21.756248,71.300003,72.5
London,31jul2002,2002,7,31,3,157,19.293751,87.525002,46.900002
London,01aug2002,2002,8,1,4,123,16.775,68.775002,51.599998
London,02aug2002,2002,8,2,5,158,17.44375,56.974998,49.099998
London,03aug2002,2002,8,3,6,141,16.924999,74.349998,33.5
London,04aug2002,2002,8,4,0,153,17.00625,82,23.700001
London,05aug2002,2002,8,5,1,144,16.30625,82.775002,33.799999
London,06aug2002,2002,8,6,2,156,18.924999,71.025002,35.700001
London,07aug2002,2002,8,7,3,138,20.34375,56.75,62.099998
London,08aug2002,2002,8,8,4,139,17.5625,80.724998,48.599998
London,09aug2002,2002,8,9,5,127,16.918751,78.474998,35.700001
London,10aug2002,2002,8,10,6,137,17.987499,72.474998,34.799999
London,11aug2002,2002,8,11,0,115,17.643749,72.674995,42.400002
London,12aug2002,2002,8,12,1,140,18.25625,64.675003,33.900002
London,13aug2002,2002,8,13,2,158,18.793751,67.550003,62
London,14aug2002,2002,8,14,3,151,20.00625,63.074997,65.900002
London,15aug2002,2002,8,15,4,154,22.268749,56.650002,98.699997
London,16aug2002,2002,8,16,5,158,21.24375,56.575001,62.700001
London,17aug2002,2002,8,17,6,161,22.268751,54.375,88
London,18aug2002,2002,8,18,0,149,21.174999,64.724998,48.5
London,19aug2002,2002,8,19,1,154,21.387501,67.800003,48.099998
London,20aug2002,2002,8,20,2,130,19.012501,75.974998,45.599998
London,21aug2002,2002,8,21,3,147,18.125,55.700001,27.799999
London,22aug2002,2002,8,22,4,158,18.1875,54.974998,53.599998
London,23aug2002,2002,8,23,5,117,18,60.825001,50.599998
London,24aug2002,2002,8,24,6,144,18.387501,57.400002,27.799999
London,25aug2002,2002,8,25,0,129,17.9125,70.275002,24.299999
London,26aug2002,2002,8,26,1,139,14.74375,79.675003,22.4
London,27aug2002,2002,8,27,2,152,17.356251,74.099998,31.200001
London,28aug2002,2002,8,28,3,127,18.475,64.275002,45.299999
London,29aug2002,2002,8,29,4,134,18.38125,75.5,71.900002
London,30aug2002,2002,8,30,5,124,18.875,77.074997,55
London,31aug2002,2002,8,31,6,125,16.59375,50.299999,23.4
London,01sep2002,2002,9,1,0,137,14.53125,52.949997,32.299999
London,02sep2002,2002,9,2,1,136,15.70625,54.900002,44.400002
London,03sep2002,2002,9,3,2,141,18.6,61.924999,48.599998
London,04sep2002,2002,9,4,3,169,16.200001,60.299999,61.900002
London,05sep2002,2002,9,5,4,169,16.90625,65.949997,83
London,06sep2002,2002,9,6,5,167,18.53125,65.712219,61.5
London,07sep2002,2002,9,7,6,142,16.5875,66.349998,45.099998
London,08sep2002,2002,9,8,0,138,15.35,66.074997,44.799999
London,09sep2002,2002,9,9,1,168,13.51875,90.674995,34.5
London,10sep2002,2002,9,10,2,140,14.95,59.674999,58.200001
London,11sep2002,2002,9,11,3,153,15.2125,58.299999,46.599998
London,12sep2002,2002,9,12,4,140,18.237499,67.875,47.799999
London,13sep2002,2002,9,13,5,148,18.424999,57.024998,41.5
London,14sep2002,2002,9,14,6,152,16.13125,65.875,29.299999
London,15sep2002,2002,9,15,0,137,15.83125,58.224998,19.700001
London,16sep2002,2002,9,16,1,126,13.48125,61,24.799999
London,17sep2002,2002,9,17,2,132,14.43125,68.824997,28
London,18sep2002,2002,9,18,3,142,14.375,64.474998,28.4
London,19sep2002,2002,9,19,4,144,15.5625,62.700001,36.700001
London,20sep2002,2002,9,20,5,154,15.39375,58.974998,62.5
London,21sep2002,2002,9,21,6,128,15.2375,56.349998,46.299999
London,22sep2002,2002,9,22,0,146,14.325,66.650002,19.299999
London,23sep2002,2002,9,23,1,165,14.025,54.625,28.5
London,24sep2002,2002,9,24,2,131,12.53125,53.424999,26.9
London,25sep2002,2002,9,25,3,145,12.7625,62.599998,46
London,26sep2002,2002,9,26,4,141,14.09375,59.324997,40.400002
London,27sep2002,2002,9,27,5,149,11.96875,76.775002,71.699997
London,28sep2002,2002,9,28,6,132,13.425,66.574997,84
London,29sep2002,2002,9,29,0,153,14.3625,61.450001,83.5
London,30sep2002,2002,9,30,1,158,14.73125,57.950001,61.299999
London,01oct2002,2002,10,1,2,165,15.3625,64.974998,85.400002
London,02oct2002,2002,10,2,3,159,16.71875,77.224998,76
London,03oct2002,2002,10,3,4,161,16.375,65.5,42.5
London,04oct2002,2002,10,4,5,140,12.58125,61.275002,60.5
London,05oct2002,2002,10,5,6,128,13.01875,75,42.5
London,06oct2002,2002,10,6,0,132,14.53125,61.775002,23
London,07oct2002,2002,10,7,1,135,13.5875,59.799999,52
London,08oct2002,2002,10,8,2,145,13.25,62.025002,53.799999
London,09oct2002,2002,10,9,3,127,11.55,68.800003,52.200001
London,10oct2002,2002,10,10,4,161,12.5625,74.449997,42
London,11oct2002,2002,10,11,5,148,11.61875,68.949997,65.099998
London,12oct2002,2002,10,12,6,158,11.71875,77.050003,45
London,13oct2002,2002,10,13,0,164,8.09375,85.224998,32.599998
London,14oct2002,2002,10,14,1,146,10.0875,90.675003,31.5
London,15oct2002,2002,10,15,2,152,11,89.625,44.900002
London,16oct2002,2002,10,16,3,155,9.8062496,74.425003,20.6
London,17oct2002,2002,10,17,4,167,7.3999996,69.125,36.5
London,18oct2002,2002,10,18,5,140,6.4937501,76.900002,35.299999
London,19oct2002,2002,10,19,6,148,6.1500001,64.800003,53.799999
London,20oct2002,2002,10,20,0,153,7.5124998,74.775002,45.599998
London,21oct2002,2002,10,21,1,181,11.78125,84.199997,69.599998
London,22oct2002,2002,10,22,2,174,14.14375,89.875,54.599998
London,23oct2002,2002,10,23,3,151,10.21875,55.849998,37.5
London,24oct2002,2002,10,24,4,160,7.3874998,68.849998,53.299999
London,25oct2002,2002,10,25,5,170,11.975,78.799995,51.400002
London,26oct2002,2002,10,26,6,165,11.98125,50.674999,50
London,27oct2002,2002,10,27,0,163,12.125,50.375,38.299999
London,28oct2002,2002,10,28,1,169,9.3125,60.849998,61.299999
London,29oct2002,2002,10,29,2,163,10.925,67.650002,66.900002
London,30oct2002,2002,10,30,3,148,10.69375,89.150002,30.4
London,31oct2002,2002,10,31,4,167,11.598701,81.724998,55.5
London,01nov2002,2002,11,1,5,155,12.761713,91.949997,61.099998
London,02nov2002,2002,11,2,6,147,12.569611,93.800003,50.5
London,03nov2002,2002,11,3,0,150,11.984161,68.875,50.900002
London,04nov2002,2002,11,4,1,138,10.193509,71.75,54.599998
London,05nov2002,2002,11,5,2,171,10.415129,88.25,71.199997
London,06nov2002,2002,11,6,3,143,11.612862,91.150002,32.599998
London,07nov2002,2002,11,7,4,157,7.68185,64.150002,33.200001
London,08nov2002,2002,11,8,5,153,9.0518236,92.125,47.799999
London,09nov2002,2002,11,9,6,144,10.135939,76.650002,29
London,10nov2002,2002,11,10,0,162,11.156385,91.474998,31.6
London,11nov2002,2002,11,11,1,142,10.557199,70.824997,64.5
London,12nov2002,2002,11,12,2,167,10.735373,81.925003,56.900002
London,13nov2002,2002,11,13,3,142,10.17209,79.474998,45.700001
London,14nov2002,2002,11,14,4,168,10.820545,74.625,49
London,15nov2002,2002,11,15,5,145,10.407952,80.650002,57.200001
London,16nov2002,2002,11,16,6,163,8.5953255,91.600006,42.099998
London,17nov2002,2002,11,17,0,134,7.6749945,93.700005,34.099998
London,18nov2002,2002,11,18,1,158,6.0348759,84.474998,70.800003
London,19nov2002,2002,11,19,2,154,7.3748875,83.650002,38.5
London,20nov2002,2002,11,20,3,146,8.9872961,86.5,39.299999
London,21nov2002,2002,11,21,4,190,9.9508724,89.224998,49.200001
London,22nov2002,2002,11,22,5,142,9.5366039,85.875,51.700001
London,23nov2002,2002,11,23,6,171,9.1164227,82.349998,41.700001
London,24nov2002,2002,11,24,0,139,8.1610813,86.224998,36
London,25nov2002,2002,11,25,1,152,6.4909825,94.849998,35.299999
London,26nov2002,2002,11,26,2,146,8.3527727,85.324997,61.700001
London,27nov2002,2002,11,27,3,166,9.0373678,76.75,48.700001
London,28nov2002,2002,11,28,4,159,10.592827,83.175003,65.699997
London,29nov2002,2002,11,29,5,167,8.2674427,89.349998,41.700001
London,30nov2002,2002,11,30,6,155,8.9872904,86.724998,53.5
London,01dec2002,2002,12,1,0,153,9.65798,77.525002,36.599998
London,02dec2002,2002,12,2,1,165,9.0371437,64.175003,43.099998
London,03dec2002,2002,12,3,2,145,8.3665676,84.025002,59.599998
London,04dec2002,2002,12,4,3,169,7.5749211,84.824997,37.599998
London,05dec2002,2002,12,5,4,158,6.0264492,76.75,24.299999
London,06dec2002,2002,12,6,5,147,6.5115013,86.550003,30.5
London,07dec2002,2002,12,7,6,153,4.8347602,88.474998,22.9
London,08dec2002,2002,12,8,0,165,3.4435148,89.724998,42.5
London,09dec2002,2002,12,9,1,173,3.5361748,69.224998,49.799999
London,10dec2002,2002,12,10,2,168,1.8241484,79.425003,48.599998
London,11dec2002,2002,12,11,3,184,2.323667,81.025002,59.799999
London,12dec2002,2002,12,12,4,185,3.7434669,88.949997,82.099998
London,13dec2002,2002,12,13,5,174,5.2559586,95.100006,64.599998
London,14dec2002,2002,12,14,6,171,6.5258551,91.75,52.400002
London,15dec2002,2002,12,15,0,180,6.5543737,94.275002,26
London,16dec2002,2002,12,16,1,194,6.0049825,90.599998,30
London,17dec2002,2002,12,17,2,195,4.1358786,83.525002,35.900002
London,18dec2002,2002,12,18,3,159,3.394062,73.349998,30
London,19dec2002,2002,12,19,4,196,3.9649572,78,49.599998
London,20dec2002,2002,12,20,5,181,3.6940718,92.75,64.400002
London,21dec2002,2002,12,21,6,189,7.3325,95.550003,43.799999
London,22dec2002,2002,12,22,0,192,9.979188,85.275002,23.1
London,23dec2002,2002,12,23,1,197,10.17911,93.599998,29.799999
London,24dec2002,2002,12,24,2,187,11.527438,83.925003,47
London,25dec2002,2002,12,25,3,179,10.328698,85.949997,30
London,26dec2002,2002,12,26,4,180,10.58567,85.574997,25
London,27dec2002,2002,12,27,5,168,10.864019,84.525002,41.400002
London,28dec2002,2002,12,28,6,180,8.4454651,76.724998,31.700001
London,29dec2002,2002,12,29,0,184,9.4014273,93.400002,24.700001
London,30dec2002,2002,12,30,1,177,9.6151485,92.425003,21.6
London,31dec2002,2002,12,31,2,164,5.8977041,81.175003,25.299999
London,01jan2003,2003,1,1,3,154,7.952796,93.074997,29
London,02jan2003,2003,1,2,4,169,9.422472,87.625,30
London,03jan2003,2003,1,3,5,173,5.8336954,83.875,22.5
London,04jan2003,2003,1,4,6,169,2.0310361,75.400002,19.5
London,05jan2003,2003,1,5,0,162,.98990929,86.925003,26.5
London,06jan2003,2003,1,6,1,181,1.1536226,70.824997,23.299999
London,07jan2003,2003,1,7,2,181,-.45890248,79.300003,34.599998
London,08jan2003,2003,1,8,3,173,-1.4005069,86.431213,20.799999
London,09jan2003,2003,1,9,4,202,.32546288,83.376419,23.200001
London,10jan2003,2003,1,10,5,190,2.2375987,86.675003,21.700001
London,11jan2003,2003,1,11,6,194,.66130137,81.349998,37
London,12jan2003,2003,1,12,0,176,.47667006,78.767799,67.699997
London,13jan2003,2003,1,13,1,175,5.9694886,83.676735,41
London,14jan2003,2003,1,14,2,195,9.0088844,73.372955,65
London,15jan2003,2003,1,15,3,179,8.5236425,75.865341,61
London,16jan2003,2003,1,16,4,197,6.3267775,80.232986,68.300003
London,17jan2003,2003,1,17,5,178,6.2051749,88.573601,55.099998
London,18jan2003,2003,1,18,6,152,5.8773403,82.25,58.5
London,19jan2003,2003,1,19,0,188,7.2250357,85.300003,35.099998
London,20jan2003,2003,1,20,1,191,7.524879,89.724998,42.5
London,21jan2003,2003,1,21,2,211,7.9884448,82.25,46.5
London,22jan2003,2003,1,22,3,184,7.0609651,81.074997,33.200001
London,23jan2003,2003,1,23,4,177,5.9839869,70.525002,34.400002
London,24jan2003,2003,1,24,5,192,4.7146583,77.099998,73.300003
London,25jan2003,2003,1,25,6,192,8.5095568,72,36.099998
London,26jan2003,2003,1,26,0,174,8.8805828,89.875,42.099998
London,27jan2003,2003,1,27,1,162,11.235868,78.375,46.599998
London,28jan2003,2003,1,28,2,161,7.3962827,71.724998,32.099998
London,29jan2003,2003,1,29,3,155,4.9346037,58.575001,19
London,30jan2003,2003,1,30,4,157,1.5389446,75.161469,19.799999
London,31jan2003,2003,1,31,5,163,.26161832,74.267166,46.5
London,01feb2003,2003,2,1,6,179,3.3437898,85.25,40.799999
London,02feb2003,2003,2,2,0,176,4.9424353,77.625,39.900002
London,03feb2003,2003,2,3,1,168,4.9419556,60.025002,48.400002
London,04feb2003,2003,2,4,2,195,2.5020432,66.150002,32.400002
London,05feb2003,2003,2,5,3,168,1.5962689,71.474998,29.299999
London,06feb2003,2003,2,6,4,170,1.9749923,81.275002,87.599998
London,07feb2003,2003,2,7,5,157,6.7833447,85.525002,60.799999
London,08feb2003,2003,2,8,6,192,9.2012978,83.074997,52.299999
London,09feb2003,2003,2,9,0,161,7.6817265,88.400002,26.9
London,10feb2003,2003,2,10,1,176,5.7845922,85.975006,53.799999
London,11feb2003,2003,2,11,2,157,5.8340926,91.724998,55.200001
London,12feb2003,2003,2,12,3,167,6.068862,93.800003,38.900002
London,13feb2003,2003,2,13,4,167,2.2450917,63.799999,56.799999
London,14feb2003,2003,2,14,5,177,1.1605148,72.75,51.400002
London,15feb2003,2003,2,15,6,161,1.2107247,75.847694,32.700001
London,16feb2003,2003,2,16,0,168,2.0308909,65.817543,48.900002
London,17feb2003,2003,2,17,1,163,1.6742569,69.550003,48.799999
London,18feb2003,2003,2,18,2,200,1.0185823,62.918381,66.699997
London,19feb2003,2003,2,19,3,180,1.3894325,56.452621,90.400002
London,20feb2003,2003,2,20,4,191,4.9498038,68.125,78
