city,date,year,month,day,dow,all,allage1,allage2,tmean,rh,pm10
Valencia,23may2002,2002,5,23,4,17,2,15,21.6,36.700001,35.799999
Valencia,24may2002,2002,5,24,5,16,1,15,22.5,40.299999,44.099998
Valencia,25may2002,2002,5,25,6,15,3,12,21.9,57.799999,37.299999
Valencia,26may2002,2002,5,26,0,23,7,16,19.5,70.5,30.700001
Valencia,27may2002,2002,5,27,1,13,2,11,19.5,65,28.700001
Valencia,28may2002,2002,5,28,2,14,4,10,18.700001,66.199997,32.599998
Valencia,29may2002,2002,5,29,3,11,3,8,19.200001,77.099998,37.700001
Valencia,30may2002,2002,5,30,4,10,1,9,19.9,68.5,32.299999
Valencia,31may2002,2002,5,31,5,17,4,13,20.700001,64.5,34.400002
Valencia,01jun2002,2002,6,1,6,11,2,9,22.1,59.400002,27.5
Valencia,02jun2002,2002,6,2,0,19,0,19,23.5,53.599998,21.5
Valencia,03jun2002,2002,6,3,1,18,3,15,22.9,57.599998,42.099998
Valencia,04jun2002,2002,6,4,2,21,1,20,22.799999,66.599998,68.400002
Valencia,05jun2002,2002,6,5,3,21,5,16,21.9,50.900002,50.5
Valencia,06jun2002,2002,6,6,4,13,3,10,20.700001,46.599998,28.1
Valencia,07jun2002,2002,6,7,5,18,5,13,19.6,65.199997,26.299999
Valencia,08jun2002,2002,6,8,6,17,3,14,21,52.299999,21.5
Valencia,09jun2002,2002,6,9,0,10,1,9,19.799999,49,20.700001
Valencia,10jun2002,2002,6,10,1,11,2,9,20.6,63.299999,29.299999
Valencia,11jun2002,2002,6,11,2,18,5,13,21.700001,64.300003,34.299999
Valencia,12jun2002,2002,6,12,3,12,0,12,22.200001,59.200001,38.400002
Valencia,13jun2002,2002,6,13,4,14,4,10,22.700001,53.799999,37.599998
Valencia,14jun2002,2002,6,14,5,14,1,13,24.299999,54.299999,39.200001
Valencia,15jun2002,2002,6,15,6,13,1,12,23.700001,56,28.9
Valencia,16jun2002,2002,6,16,0,17,4,13,24.299999,58.299999,19.799999
Valencia,17jun2002,2002,6,17,1,15,2,13,24.6,59.099998,26.6
Valencia,18jun2002,2002,6,18,2,16,5,11,24.5,61.299999,31.5
Valencia,19jun2002,2002,6,19,3,12,4,8,25.200001,57.5,30.9
Valencia,20jun2002,2002,6,20,4,16,4,12,25,55.099998,27.200001
Valencia,21jun2002,2002,6,21,5,21,2,19,26.200001,47.799999,33.5
Valencia,22jun2002,2002,6,22,6,18,2,16,27,53.5,31.6
Valencia,23jun2002,2002,6,23,0,17,2,15,26.200001,55.900002,26.299999
Valencia,24jun2002,2002,6,24,1,16,2,14,25.299999,67.599998,40.599998
Valencia,25jun2002,2002,6,25,2,13,3,10,25.4,68.300003,34.299999
Valencia,26jun2002,2002,6,26,3,15,2,13,25.5,60.5,42.900002
Valencia,27jun2002,2002,6,27,4,21,3,18,25.5,64.800003,42.5
Valencia,28jun2002,2002,6,28,5,8,1,7,25.6,65.599998,47.900002
Valencia,29jun2002,2002,6,29,6,16,3,13,25,66.699997,35.5
Valencia,30jun2002,2002,6,30,0,10,0,10,22.799999,73.800003,26.5
Valencia,01jul2002,2002,7,1,1,19,3,16,20.6,78.199997,26.9
Valencia,02jul2002,2002,7,2,2,17,5,12,24,71.199997,38.099998
Valencia,03jul2002,2002,7,3,3,8,3,5,27.4,60.599998,59.299999
Valencia,04jul2002,2002,7,4,4,16,3,13,24.299999,69.900002,68.099998
Valencia,05jul2002,2002,7,5,5,10,0,10,24.6,71.800003,44.799999
Valencia,06jul2002,2002,7,6,6,14,3,11,24.299999,69.900002,24.200001
Valencia,07jul2002,2002,7,7,0,12,3,9,24.700001,68.900002,21.200001
Valencia,08jul2002,2002,7,8,1,14,3,11,24.6,68.199997,32.799999
Valencia,09jul2002,2002,7,9,2,13,1,12,27,62,47.099998
Valencia,10jul2002,2002,7,10,3,11,4,7,25.799999,68.800003,38.900002
Valencia,11jul2002,2002,7,11,4,16,2,14,25.5,66.5,33.700001
Valencia,12jul2002,2002,7,12,5,21,5,16,25.799999,70.599998,38.299999
Valencia,13jul2002,2002,7,13,6,19,3,16,24.4,62,30.5
Valencia,14jul2002,2002,7,14,0,7,3,4,23.200001,41.200001,20.6
Valencia,15jul2002,2002,7,15,1,17,5,12,23.4,45.400002,33
Valencia,16jul2002,2002,7,16,2,12,3,9,24.799999,51,40.700001
Valencia,17jul2002,2002,7,17,3,8,1,7,24.799999,61.5,37.400002
Valencia,18jul2002,2002,7,18,4,12,1,11,25.9,60.700001,45.299999
Valencia,19jul2002,2002,7,19,5,21,3,18,25.700001,65.300003,44.200001
Valencia,20jul2002,2002,7,20,6,13,3,10,25.6,57.200001,30.1
Valencia,21jul2002,2002,7,21,0,16,1,15,27,52,27.299999
Valencia,22jul2002,2002,7,22,1,17,6,11,25.4,60.299999,44
Valencia,23jul2002,2002,7,23,2,14,3,11,27.200001,47.400002,51.200001
Valencia,24jul2002,2002,7,24,3,21,6,15,26.200001,52.400002,40.299999
Valencia,25jul2002,2002,7,25,4,13,3,10,26.1,60.200001,44.400002
Valencia,26jul2002,2002,7,26,5,29,8,21,25.799999,66.900002,37.700001
Valencia,27jul2002,2002,7,27,6,7,0,7,26.200001,69.5,30.799999
Valencia,28jul2002,2002,7,28,0,18,4,14,25.9,66.699997,20.200001
Valencia,29jul2002,2002,7,29,1,12,1,11,25.6,63.200001,32
Valencia,30jul2002,2002,7,30,2,17,3,14,25.4,60.299999,31.700001
Valencia,31jul2002,2002,7,31,3,14,4,10,25.200001,64.800003,30.1
Valencia,01aug2002,2002,8,1,4,14,2,12,23.200001,67.400002,23.4
Valencia,02aug2002,2002,8,2,5,15,4,11,24.299999,72.099998,34
Valencia,03aug2002,2002,8,3,6,22,3,19,25.200001,74.5,29.6
Valencia,04aug2002,2002,8,4,0,13,2,11,26.5,73.099998,30
Valencia,05aug2002,2002,8,5,1,13,2,11,27.5,71.5,45.099998
Valencia,06aug2002,2002,8,6,2,10,3,7,27.299999,55.700001,44.299999
Valencia,07aug2002,2002,8,7,3,15,3,12,25.299999,67.400002,29.200001
Valencia,08aug2002,2002,8,8,4,15,2,13,23.5,73.199997,27.5
Valencia,09aug2002,2002,8,9,5,18,4,14,24.1,75.400002,33.599998
Valencia,10aug2002,2002,8,10,6,7,1,6,22.4,76.900002,18.200001
Valencia,11aug2002,2002,8,11,0,12,5,7,22.799999,47.099998,14.9
Valencia,12aug2002,2002,8,12,1,10,1,9,24.5,55.299999,29.700001
Valencia,13aug2002,2002,8,13,2,14,3,11,24.9,73.099998,25.799999
Valencia,14aug2002,2002,8,14,3,14,1,13,25.200001,73.900002,30.5
Valencia,15aug2002,2002,8,15,4,9,4,5,27.299999,67.800003,29.6
Valencia,16aug2002,2002,8,16,5,14,5,9,26.299999,70.300003,28.700001
Valencia,17aug2002,2002,8,17,6,8,0,8,26.4,65.300003,27.1
Valencia,18aug2002,2002,8,18,0,9,4,5,25.799999,67.599998,23.1
Valencia,19aug2002,2002,8,19,1,13,2,11,26.299999,62,26.200001
Valencia,20aug2002,2002,8,20,2,15,4,11,25.9,67.699997,35.700001
Valencia,21aug2002,2002,8,21,3,9,2,7,25.799999,71,27.9
Valencia,22aug2002,2002,8,22,4,12,2,10,24,68.300003,20.9
Valencia,23aug2002,2002,8,23,5,7,1,6,25.6,69.699997,27.700001
Valencia,24aug2002,2002,8,24,6,11,4,7,22.1,80.599998,19.299999
Valencia,25aug2002,2002,8,25,0,4,0,4,22.700001,73.300003,21.1
Valencia,26aug2002,2002,8,26,1,14,5,9,22.1,69.900002,27.700001
Valencia,27aug2002,2002,8,27,2,13,1,12,20.6,75.5,22.9
Valencia,28aug2002,2002,8,28,3,14,3,11,21.799999,65.800003,28.5
Valencia,29aug2002,2002,8,29,4,13,4,9,23,59.5,25.200001
Valencia,30aug2002,2002,8,30,5,8,0,8,24,69.699997,32.200001
Valencia,31aug2002,2002,8,31,6,10,1,9,25.1,70.800003,28.200001
Valencia,01sep2002,2002,9,1,0,16,1,15,24.700001,71.099998,22.5
Valencia,02sep2002,2002,9,2,1,9,3,6,23.4,77.699997,26.9
Valencia,03sep2002,2002,9,3,2,16,2,14,23.700001,70.400002,33
Valencia,04sep2002,2002,9,4,3,12,4,8,24.299999,65.800003,39.5
Valencia,05sep2002,2002,9,5,4,9,2,7,23.4,60,38
Valencia,06sep2002,2002,9,6,5,20,4,16,22.799999,59.799999,32.900002
Valencia,07sep2002,2002,9,7,6,14,2,12,25,65.900002,28.4
Valencia,08sep2002,2002,9,8,0,12,2,10,24.9,64.900002,27.799999
Valencia,09sep2002,2002,9,9,1,14,0,14,25.9,46.599998,35.5
Valencia,10sep2002,2002,9,10,2,15,3,12,23.9,64.199997,31.6
Valencia,11sep2002,2002,9,11,3,15,5,10,24,72.5,36.200001
Valencia,12sep2002,2002,9,12,4,15,1,14,24.700001,71.400002,32.099998
Valencia,13sep2002,2002,9,13,5,12,2,10,24,69.800003,29.700001
Valencia,14sep2002,2002,9,14,6,11,1,10,22,72.099998,19.4
Valencia,15sep2002,2002,9,15,0,17,2,15,23.200001,73.5,27.200001
Valencia,16sep2002,2002,9,16,1,17,3,14,23.200001,79.099998,40.099998
Valencia,17sep2002,2002,9,17,2,15,2,13,22.4,81.400002,48.099998
Valencia,18sep2002,2002,9,18,3,17,4,13,23.4,74.599998,40.099998
Valencia,19sep2002,2002,9,19,4,17,2,15,24.299999,72.800003,39
Valencia,20sep2002,2002,9,20,5,8,2,6,24.200001,73.400002,42.900002
Valencia,21sep2002,2002,9,21,6,17,5,12,24.5,60.5,19.1
Valencia,22sep2002,2002,9,22,0,15,4,11,25.200001,47.900002,15.2
Valencia,23sep2002,2002,9,23,1,30,10,20,23.700001,53.099998,26.9
Valencia,24sep2002,2002,9,24,2,11,1,10,18.799999,43,25.1
Valencia,25sep2002,2002,9,25,3,18,2,16,17.9,57.299999,29.299999
Valencia,26sep2002,2002,9,26,4,12,6,6,21.1,63.700001,30.799999
Valencia,27sep2002,2002,9,27,5,14,1,13,20,62.700001,29.6
Valencia,28sep2002,2002,9,28,6,16,4,12,19.6,65.900002,29
Valencia,29sep2002,2002,9,29,0,15,3,12,21.200001,68.599998,25.700001
Valencia,30sep2002,2002,9,30,1,10,2,8,22.200001,67.699997,33.299999
Valencia,01oct2002,2002,10,1,2,14,3,11,20.4,66.300003,30.5
Valencia,02oct2002,2002,10,2,3,18,2,16,17.1,86.400002,22.200001
Valencia,03oct2002,2002,10,3,4,8,0,8,19,79.5,30.299999
Valencia,04oct2002,2002,10,4,5,15,5,10,20.5,73.300003,40.799999
Valencia,05oct2002,2002,10,5,6,13,1,12,20.299999,67.400002,36.099998
Valencia,06oct2002,2002,10,6,0,21,2,19,21,68.199997,26.200001
Valencia,07oct2002,2002,10,7,1,9,3,6,20,64.199997,37.799999
Valencia,08oct2002,2002,10,8,2,11,5,6,18.9,80.5,54.099998
Valencia,09oct2002,2002,10,9,3,14,5,9,20,66.900002,21.6
Valencia,10oct2002,2002,10,10,4,13,2,11,14.9,51.099998,27.4
Valencia,11oct2002,2002,10,11,5,15,4,11,19,42.200001,21.4
Valencia,12oct2002,2002,10,12,6,19,6,13,21.700001,47.799999,19.700001
Valencia,13oct2002,2002,10,13,0,14,2,12,21.6,56.700001,18.700001
Valencia,14oct2002,2002,10,14,1,14,0,14,20.6,71,35.799999
Valencia,15oct2002,2002,10,15,2,11,3,8,21.5,63.599998,39.299999
Valencia,16oct2002,2002,10,16,3,15,5,10,21.9,58.700001,32
Valencia,17oct2002,2002,10,17,4,15,1,14,20.799999,43.599998,41.900002
Valencia,18oct2002,2002,10,18,5,19,2,17,16.6,55,31.299999
Valencia,19oct2002,2002,10,19,6,10,1,9,17.299999,67,22.700001
Valencia,20oct2002,2002,10,20,0,13,3,10,17.200001,75.900002,18.5
Valencia,21oct2002,2002,10,21,1,18,2,16,20.299999,70.5,41.900002
Valencia,22oct2002,2002,10,22,2,15,3,12,20.6,48.900002,37.900002
Valencia,23oct2002,2002,10,23,3,23,1,22,20.6,48.299999,35.200001
Valencia,24oct2002,2002,10,24,4,16,1,15,17.6,55.200001,31.299999
Valencia,25oct2002,2002,10,25,5,14,1,13,20.799999,49.900002,29.9
Valencia,26oct2002,2002,10,26,6,23,3,20,20.299999,57.599998,25.200001
Valencia,27oct2002,2002,10,27,0,13,3,10,18.5,71.900002,22.6
Valencia,28oct2002,2002,10,28,1,12,1,11,17.4,75.599998,39.700001
Valencia,29oct2002,2002,10,29,2,18,5,13,16.9,72.400002,44.700001
Valencia,30oct2002,2002,10,30,3,20,2,18,17,77,40.5
Valencia,31oct2002,2002,10,31,4,11,3,8,17.700001,62,28.6
Valencia,01nov2002,2002,11,1,5,17,3,14,16.9,65.900002,18.5
Valencia,02nov2002,2002,11,2,6,17,3,14,17.700001,59.400002,24
Valencia,03nov2002,2002,11,3,0,13,4,9,21.9,52.400002,17.799999
Valencia,04nov2002,2002,11,4,1,19,2,17,18.299999,58.700001,32.799999
Valencia,05nov2002,2002,11,5,2,12,2,10,16,54,38.900002
Valencia,06nov2002,2002,11,6,3,13,4,9,15.2,62,38.200001
Valencia,07nov2002,2002,11,7,4,14,2,12,15.9,43.200001,100.7
Valencia,08nov2002,2002,11,8,5,19,2,17,16,45.5,40.900002
Valencia,09nov2002,2002,11,9,6,18,3,15,18.6,42,34
Valencia,10nov2002,2002,11,10,0,21,1,20,20.9,47.400002,19.799999
Valencia,11nov2002,2002,11,11,1,20,3,17,19.4,45.900002,33.5
Valencia,12nov2002,2002,11,12,2,8,1,7,18.299999,57,41.599998
Valencia,13nov2002,2002,11,13,3,25,4,21,17.700001,53.599998,36.799999
Valencia,14nov2002,2002,11,14,4,22,4,18,14.4,69.400002,22.5
Valencia,15nov2002,2002,11,15,5,18,2,16,11.9,75.5,30.700001
Valencia,16nov2002,2002,11,16,6,19,5,14,11.4,65.5,19.9
Valencia,17nov2002,2002,11,17,0,14,2,12,13,57.700001,9
Valencia,18nov2002,2002,11,18,1,15,4,11,11.8,60.599998,28.200001
Valencia,19nov2002,2002,11,19,2,13,1,12,15.5,62.299999,24.200001
Valencia,20nov2002,2002,11,20,3,19,4,15,13.8,60.799999,20
Valencia,21nov2002,2002,11,21,4,20,3,17,13.7,57.599998,50.700001
Valencia,22nov2002,2002,11,22,5,15,4,11,15.1,53.700001,27.9
Valencia,23nov2002,2002,11,23,6,7,1,6,14,67.400002,24.700001
Valencia,24nov2002,2002,11,24,0,17,4,13,12.1,81.800003,13.3
Valencia,25nov2002,2002,11,25,1,10,1,9,11.2,67.199997,23
Valencia,26nov2002,2002,11,26,2,14,2,12,12.5,60,24.200001
Valencia,27nov2002,2002,11,27,3,22,2,20,14.5,59.099998,22.700001
Valencia,28nov2002,2002,11,28,4,19,3,16,16.9,60.900002,24.9
Valencia,29nov2002,2002,11,29,5,11,2,9,13.1,49.200001,34.099998
Valencia,30nov2002,2002,11,30,6,16,3,13,13.1,49.900002,19.700001
Valencia,01dec2002,2002,12,1,0,19,6,13,14.5,56.400002,11.6
Valencia,02dec2002,2002,12,2,1,19,2,17,14.5,55.599998,23.1
Valencia,03dec2002,2002,12,3,2,19,2,17,13.3,47.400002,25.799999
Valencia,04dec2002,2002,12,4,3,14,1,13,15.7,47.799999,30.5
Valencia,05dec2002,2002,12,5,4,17,1,16,13.8,37.400002,70.599998
Valencia,06dec2002,2002,12,6,5,12,3,9,11,45.5,18.700001
Valencia,07dec2002,2002,12,7,6,27,3,24,10.6,56.5,21.700001
Valencia,08dec2002,2002,12,8,0,19,5,14,11.1,60.799999,20.5
Valencia,09dec2002,2002,12,9,1,16,3,13,10.3,68.400002,32.599998
Valencia,10dec2002,2002,12,10,2,17,3,14,10.5,86.300003,47.299999
Valencia,11dec2002,2002,12,11,3,14,3,11,11.2,70.699997,42.200001
Valencia,12dec2002,2002,12,12,4,20,3,17,11.5,66.5,30.1
Valencia,13dec2002,2002,12,13,5,20,3,17,9.6999998,70.900002,26.9
Valencia,14dec2002,2002,12,14,6,11,1,10,13.1,72.300003,25.200001
Valencia,15dec2002,2002,12,15,0,11,1,10,14.4,51.700001,18.200001
Valencia,16dec2002,2002,12,16,1,19,4,15,9.8999996,67.599998,35.200001
Valencia,17dec2002,2002,12,17,2,19,1,18,13.4,71.099998,50.5
Valencia,18dec2002,2002,12,18,3,20,3,17,17.6,67.199997,37.200001
Valencia,19dec2002,2002,12,19,4,18,1,17,12.7,87.900002,17.5
Valencia,20dec2002,2002,12,20,5,22,3,19,12.4,82.699997,28.200001
Valencia,21dec2002,2002,12,21,6,23,3,20,13.2,78.599998,32.400002
Valencia,22dec2002,2002,12,22,0,17,4,13,11.4,76,26
